Recency,Frequency,Monetary
89,25,724.76
282,4,374.0
282,1,207.50000000000003
235,15,304.25
19,97,1879.05
8,271,5037.26
239,16,416.64
26,87,1421.69
281,9,137.1
281,15,306.94
84,79,3029.87
1,15,1418.03
4,69,693.95
211,20,641.92
281,14,348.2
281,2,76.1
218,28,495.77
281,14,225.9
29,269,6893.42
25,259,4867.72
178,58,1238.47
16,142,2534.64
16,12,231.86
10,109,3466.2799999999997
95,58,1237.53
280,15,222.99
51,117,1778.96
280,29,218.06
18,70,1163.23
28,34,584.06
197,40,707.69
280,6,96.8
38,60,231.98000000000002
21,7,126.25
25,53,1426.16
280,123,392.86
81,21,323.69
280,13,164.4
92,12,716.2
21,350,2795.33
26,190,808.44
25,42,600.07
47,107,673.26
4,212,2533.42
33,416,10797.48
278,20,136.76999999999998
277,14,217.2
91,12,307.48
59,37,709.38
277,10,180.60000000000002
67,116,2511.69
51,29,813.48
44,134,1096.32
30,67,1004.38
277,11,328.8
197,31,211.77
277,22,117.55
80,61,469.0
277,17,162.7
200,63,1110.34
50,124,1774.03
8,292,3579.86
277,15,149.64
4,33,387.68
70,269,2225.15
276,14,197.0
88,180,3279.97
46,31,784.58
49,123,1905.45
276,19,237.36
276,6,325.1
45,134,10736.48
276,9,391.52
107,73,2157.73
79,122,2369.55
31,329,2461.2400000000002
1,462,1897.57
8,521,9227.82
60,158,3312.25
9,438,3611.31
276,7,108.5
2,353,1863.76
3,88,648.26
16,90,1614.91
23,95,1367.88
2,317,5655.03
10,9,420.29999999999995
110,34,473.02
156,30,597.09
93,26,982.07
22,160,2915.15
1,40,975.36
275,7,298.0
12,90,554.85
275,24,380.5
127,57,1009.6
275,24,120.44
57,95,1877.59
1,237,3883.25
15,167,3285.31
17,62,1305.33
16,19,388.52
274,13,223.95000000000002
227,37,632.07
274,2,660.0
86,31,2106.84
78,126,2740.03
274,23,333.08
29,77,1334.34
274,19,310.47
274,7,101.34
274,18,282.93
81,10,217.16
274,10,268.58
74,16,245.94
40,42,499.41999999999996
99,23,288.42
88,28,544.3
53,90,2092.66
273,3,121.17000000000002
50,16,612.0799999999999
43,166,2707.33
58,118,6773.97
273,34,1145.6
163,75,1594.23
32,144,2467.35
273,16,108.21000000000001
273,13,516.42
157,47,1078.96
36,27,587.15
47,54,478.09000000000003
68,59,477.86
5,147,1019.27
271,49,285.33
190,40,334.23
18,78,2657.13
270,5,126.7
142,67,1121.59
25,127,11528.48
22,137,2812.34
8,116,17654.54
259,2,590.0
32,289,1953.41
12,201,578.71
23,60,536.99
17,42,1159.11
269,22,343.62
67,42,853.39
269,25,170.75
66,16,689.4799999999999
22,8,287.62
269,43,217.89
17,100,1422.52
170,44,1062.75
269,21,138.28
17,341,5291.33
28,66,2214.79
269,50,283.73
268,20,301.9
4,61,974.4200000000001
268,29,1829.04
36,28,609.85
65,65,1313.55
14,12,965.61
268,29,439.03
31,48,1010.29
154,29,622.85
268,5,142.5
74,98,643.76
213,8,596.85
71,7,518.28
1,180,4757.16
77,68,1090.24
79,11,561.5699999999999
22,245,5655.99
267,1,71.4
267,4,62.85
267,5,333.74
16,96,1836.34
182,75,269.09
17,433,3174.75
213,41,533.3
15,120,1504.27
267,37,914.9300000000001
267,5,676.2
267,2,251.51999999999998
1,134,2621.38
99,11,3070.42
0,222,4263.64
204,24,639.5
16,192,3439.08
12,540,3146.92
266,7,177.15
266,22,409.98
3,155,5683.15
266,8,183.6
2,114,8134.9400000000005
21,159,918.33
266,13,752.4300000000001
64,58,1117.13
266,7,152.55
161,84,225.26
0,179,4413.1
266,66,252.81
38,11,283.15
44,101,2481.13
64,142,820.23
266,21,141.41
266,5,234.24
46,101,719.81
15,27,4892.240000000001
236,47,854.99
266,6,118.75
32,102,1735.18
30,35,629.31
266,20,344.90000000000003
16,116,2064.95
264,5,211.5
3,323,1437.57
106,23,413.2
179,45,342.83
264,10,138.68
46,84,654.67
42,115,2048.07
264,8,172.9
46,263,1048.28
264,12,320.62
4,349,7060.13
35,16,247.95999999999998
52,80,2354.25
65,103,1702.26
10,106,2599.03
264,34,267.18
264,5,113.5
16,24,466.7
29,56,528.48
92,60,991.13
263,14,226.21
263,21,300.52
263,31,922.1
40,33,684.34
89,33,584.5
263,10,158.95000000000002
219,108,1693.45
263,16,298.11
136,80,712.24
175,57,1564.56
87,55,758.92
263,1,15.0
263,11,200.29
194,14,1689.5
262,8,114.56
183,43,740.95
107,47,1465.3200000000002
18,52,977.9300000000001
42,114,2148.63
262,21,517.55
262,9,215.05
262,45,200.16
10,345,2839.62
191,11,617.05
66,109,466.73
11,110,1797.78
23,149,914.69
262,58,237.07
262,37,292.47
38,35,692.19
261,1,25.5
84,122,3450.84
261,21,329.56
26,60,974.52
261,13,327.25
144,59,385.64
15,48,1022.13
261,7,207.79999999999998
148,180,2103.06
261,3,77.3
144,52,747.81
134,89,2515.84
12,41,778.94
261,24,396.87
37,4,2560.0
15,81,16209.5
92,23,711.41
166,232,803.54
4,43,942.26
3,56,381.97
37,68,1098.43
1,52,1123.8600000000001
36,32,646.3
73,27,921.88
1,157,2895.64
260,42,775.85
260,15,251.21
3,9,178.96
260,8,154.95
162,55,1516.24
5,190,729.8
260,71,602.63
75,79,3144.86
260,38,361.54
0,89,1664.65
260,23,335.32
260,3,40.5
260,18,409.57
63,49,2100.6
31,90,2504.13
35,138,732.41
16,170,5064.94
144,71,1484.06
259,18,170.95
85,52,881.26
233,20,149.57999999999998
2,41,1341.6
217,29,336.13
100,59,422.24
2,3,204.0
151,12,735.66
18,306,2020.4
257,89,609.4
80,48,222.62
257,17,193.0
45,109,1804.56
23,90,1413.66
11,187,3834.2599999999998
158,56,367.63
256,5,88.2
256,14,174.8
31,350,6688.46
54,57,286.79
116,34,588.13
178,35,674.52
46,104,553.36
64,19,388.25
23,28,511.35
155,22,631.9
138,48,881.07
31,73,1340.8700000000001
60,46,637.5
185,46,683.46
37,274,5396.04
0,51,1712.89
134,65,408.36
255,17,277.07
114,38,653.38
19,150,1567.69
66,123,3683.86
255,54,283.71
214,5,354.12
15,174,2478.95
40,185,3000.2
116,43,799.9
73,114,2446.6
85,50,993.18
254,3,56.4
19,234,4147.96
9,192,874.43
254,17,383.34
37,86,5732.93
123,148,594.39
80,28,936.08
95,29,913.19
254,17,271.0
73,33,437.96
88,43,2398.86
254,54,836.79
114,51,817.86
254,26,229.33
154,82,1705.8
28,115,1991.01
253,17,388.45000000000005
253,15,307.53
16,46,745.06
253,7,125.65
28,81,302.57
73,48,657.8
12,340,2088.94
39,91,2178.67
226,5,1998.0
72,44,1770.34
50,25,290.25
10,142,2674.48
253,12,58.49
49,30,1212.8400000000001
253,4,226.85
159,12,188.02
252,18,364.8
252,19,257.23
15,276,5493.46
100,162,10254.18
252,9,151.5
25,61,1213.1599999999999
38,101,507.05
252,1,85.0
252,24,417.95
30,215,4167.22
58,143,2836.69
63,13,712.88
252,2,37.4
252,2,136.8
201,7,1012.0
250,17,127.84
19,404,3408.2000000000003
7,31,584.07
42,68,3406.7200000000003
249,37,535.34
60,91,1797.5
249,8,183.4
57,96,1295.3
225,20,755.75
31,102,869.28
189,54,873.74
29,58,939.78
249,17,304.25
249,1,12.75
61,191,528.01
249,18,328.2
1,235,1581.84
53,175,3339.64
248,8,463.95
248,13,336.96
248,2,594.0
81,86,559.59
5,397,2573.93
60,328,2854.84
50,125,1885.05
65,34,631.57
135,10,657.9000000000001
4,67,1194.73
248,12,374.57
14,6,628.78
184,13,771.85
72,67,283.47
247,20,305.78
72,59,891.12
247,12,123.1
156,5,186.42000000000002
113,22,339.44
247,18,454.12
87,69,1236.54
247,13,206.21
92,98,547.9
130,20,1475.81
2,97,1036.58
64,119,2634.45
247,12,72.9
2,166,3078.58
246,1,175.2
219,38,610.59
21,107,1497.31
11,35,745.06
124,75,1175.38
26,27,632.97
0,277,1010.35
88,46,2262.62
51,28,458.57
246,10,228.84
107,117,696.89
23,171,625.42
173,26,513.7
246,8,102.12
45,23,212.54
17,119,728.54
3,142,664.34
245,20,394.44
15,86,1393.69
245,27,487.51
110,75,1474.06
19,19,357.20000000000005
31,165,3170.98
245,14,266.4
46,18,594.24
245,10,310.05
245,28,484.95
245,5,129.45
196,28,455.88
21,11,169.55
32,94,403.12
147,41,483.72999999999996
154,17,333.97
81,82,1799.33
245,7,104.9
28,83,1356.33
107,6,763.64
96,123,678.16
243,12,110.97
243,27,239.49
12,202,1328.35
243,14,112.55000000000001
24,145,2118.93
168,115,2222.21
197,42,267.16
243,34,560.67
23,280,4628.75
44,67,981.86
1,110,1661.44
242,8,185.65
14,71,1188.1200000000001
18,2,1231.5
242,20,310.26
242,14,309.52
242,28,390.54
51,29,559.97
25,51,918.2
9,39,774.9000000000001
9,57,869.46
91,24,671.96
242,8,183.85
239,12,416.86
114,56,932.97
23,75,3075.04
25,83,1687.6000000000001
9,111,10484.99
14,10,692.85
31,229,3518.03
95,69,1140.21
241,30,135.19
63,130,3189.81
241,15,246.04
241,5,101.8
38,656,7205.33
170,74,414.87
241,8,313.8
241,21,112.75
29,49,882.24
240,23,350.75
239,23,429.6
14,73,1387.99
106,42,706.57
39,78,276.06
8,143,2618.23
85,98,1793.58
60,253,2404.17
240,10,185.04999999999998
94,55,922.39
8,28,2154.97
240,6,110.25
94,58,1037.59
17,67,1720.3
32,222,1415.65
240,28,623.5
51,78,3506.54
207,40,1303.9099999999999
81,62,1179.89
168,31,885.19
33,173,1122.63
1,44,563.23
52,69,1800.07
18,39,701.4
65,41,1266.08
35,39,1740.48
239,52,1345.62
239,20,328.15999999999997
18,137,2022.81
87,52,2445.91
239,74,1266.23
239,9,116.00999999999999
239,15,579.0
239,9,139.05
103,93,762.16
217,137,3251.071
238,1,30.599999999999998
21,44,1389.41
114,36,605.0600000000001
45,123,3613.15
32,112,2195.1
30,35,1066.1499999999999
238,33,167.55
236,15,232.48000000000002
110,2,716.0
78,21,819.2900000000001
123,37,1142.42
236,19,314.45
8,110,1624.05
24,53,1488.32
19,62,1094.59
236,29,175.27
236,62,226.84
236,19,338.95
31,50,1257.51
235,21,406.48
95,154,3100.09
235,5,151.85
151,82,1506.1200000000001
203,8,255.12
235,31,247.39
19,72,408.02
32,133,886.7
103,64,1534.26
133,7,814.0
189,92,1000.27
29,117,2188.05
9,78,1648.1200000000001
15,103,1771.78
200,15,300.95
99,53,1019.76
234,7,150.3
24,195,2883.54
15,60,1041.68
17,152,2883.1
234,8,101.19
234,23,409.40000000000003
75,49,621.29
12,291,1067.75
234,9,113.5
53,43,700.63
157,17,616.15
233,5,103.3
233,3,157.2
7,48,1429.64
23,122,2791.27
3,144,2953.59
23,4,596.1
233,23,454.24
233,27,267.03
8,39,837.5
233,18,307.46
178,19,264.62
100,23,1240.2
4,102,1625.97
16,31,529.41
11,51,797.96
1,39,528.33
73,99,5232.2300000000005
232,6,139.35
169,26,503.59999999999997
200,5,163.20000000000002
157,29,734.13
29,116,881.29
232,13,225.15
44,95,623.93
232,11,184.64
187,23,275.28
227,11,205.7
227,24,413.46
12,277,1904.99
24,105,2107.38
227,38,358.38
1,99,1412.32
185,15,311.26
226,2,305.28000000000003
1,9,216.29999999999998
226,26,201.19
143,113,2726.77
226,60,511.68
226,10,203.95
52,99,804.3
225,5,93.35
44,95,631.12
50,39,731.9
115,27,621.8299999999999
32,69,1154.47
30,42,890.34
225,14,259.45
225,10,160.95
107,32,1314.45
225,10,112.32
33,84,781.91
225,6,314.22
225,15,107.21
225,28,440.0
225,20,331.18
82,221,1301.91
222,17,383.45
40,116,1221.56
8,49,1932.23
130,14,329.6
220,8,134.8
220,28,446.62
220,18,288.6
1,259,4684.76
18,37,1132.14
24,44,682.9100000000001
189,35,542.03
140,10,160.35000000000002
165,96,427.64
67,82,1378.4
24,165,703.99
40,27,680.1800000000001
198,19,557.3
60,102,1471.0
219,6,75.66
219,4,203.86999999999998
11,63,1078.23
10,29,450.84
45,135,5203.51
23,63,1101.97
19,15,336.4
218,1,179.0
218,7,306.72
218,6,134.7
128,39,524.9200000000001
218,13,252.06
17,98,2076.89
218,9,208.36
53,47,939.37
218,2,185.39999999999998
119,39,595.67
218,3,265.2
218,22,188.60999999999999
1,73,1070.71
31,60,1005.09
14,50,843.48
218,5,67.95
218,5,143.45999999999998
26,71,2043.7199999999998
46,26,698.41
9,104,2073.09
217,1,76.32000000000001
217,3,404.40000000000003
65,45,714.42
217,4,59.9
33,128,2225.37
217,5,93.75
46,11,3742.2
71,104,1796.48
71,34,668.4300000000001
184,12,199.15
168,34,623.16
217,17,90.12
33,38,980.31
217,6,199.85000000000002
9,84,2874.72
11,27,800.59
57,204,854.66
157,15,1019.52
215,57,312.28
14,79,1551.78
215,14,141.85999999999999
140,117,2293.62
47,381,1693.81
43,37,990.88
16,64,1214.72
25,55,834.57
19,29,582.6
215,6,90.6
105,6,149.05
214,13,239.4
7,282,3640.67
214,17,111.15
127,10,3276.4000000000005
214,8,109.13000000000001
214,6,92.72
78,76,1214.41
78,105,1532.2
33,34,658.88
72,78,2232.4900000000002
40,40,895.13
213,55,2044.3700000000001
2,87,2612.96
112,13,270.40000000000003
213,16,426.6
213,5,370.79999999999995
15,176,1320.21
213,16,311.3
3,199,4090.88
30,71,2114.33
87,47,1010.6
212,57,977.77
58,29,376.64
1,11,252.49
212,5,85.0
56,127,2607.61
177,62,833.78
47,45,380.02
1,91,4777.18
212,18,348.15000000000003
212,1,931.4999999999999
18,43,604.64
4,186,1402.59
212,58,1031.07
18,53,761.59
211,22,738.6
71,7,498.95
57,27,813.11
211,34,612.78
211,40,334.54
22,50,1134.28
108,69,3717.35
211,8,101.4
64,45,1158.79
29,90,1331.57
22,64,1041.61
24,9,475.8
25,19,595.42
50,71,772.55
67,101,653.75
211,15,635.66
45,99,693.32
211,29,562.79
56,68,1654.31
3,226,882.72
21,21,668.5600000000001
210,28,519.68
208,13,112.8
54,62,383.68
3,129,2234.73
208,16,1028.56
5,166,1570.81
208,23,63.440000000000005
12,156,846.62
4,34,688.33
84,11,380.64
78,92,1560.38
207,30,463.38
207,20,369.2
58,19,444.74
17,63,1766.72
85,28,152.06
206,10,357.98
18,31,635.41
65,70,1120.88
73,61,861.89
7,106,2199.31
30,74,1824.37
161,52,1145.84
0,3,168472.5
205,6,157.9
5,302,986.96
10,188,3349.57
205,33,1384.25
198,42,695.61
11,36,672.83
98,6,529.62
95,63,911.94
3,128,1616.8
4,28,640.83
85,65,1100.9
17,45,1352.75
16,88,1870.97
169,14,214.06
45,60,1186.35
204,9,171.45
23,33,478.78
204,10,155.9
78,15,307.76
26,52,761.74
8,426,1652.18
12,58,1353.74
21,82,1422.4
43,75,1612.69
9,108,2639.17
204,19,349.55
18,10,186.23
38,12,206.34
133,21,397.29
203,1,59.8
203,8,131.7
22,54,1385.51
168,14,388.5
203,57,585.12
103,47,1370.6
203,7,172.29000000000002
42,70,1837.28
32,37,566.58
72,12,225.57999999999998
73,135,4098.88
7,26,471.78000000000003
70,15,190.25
201,9,257.7
10,16,382.14
201,15,306.13
89,108,1649.5
187,2,52.0
30,78,1316.07
24,77,1971.87
201,28,236.04000000000002
201,24,178.39
201,6,143.1
200,54,860.12
189,28,506.8
12,97,621.09
200,1,326.4
57,39,638.0600000000001
8,55,1041.48
114,26,1339.45
200,30,339.59999999999997
56,90,1520.58
108,29,122.14
199,24,327.97
29,45,723.2099999999999
199,5,135.93
154,18,315.06
0,262,4206.39
21,151,617.15
8,9,176.63
198,23,611.85
198,1,179.0
24,17,974.54
198,19,182.99
169,98,1033.06
197,8,144.8
73,28,558.7
197,4,271.85
186,22,160.71
80,48,810.5699999999999
81,37,592.97
114,72,3859.82
18,117,1545.41
196,8,134.04
196,1,3096.0
15,83,519.6899999999999
196,33,559.87
161,31,588.22
148,42,626.77
196,1,207.50000000000003
60,105,643.9
180,70,321.43
194,22,208.59
194,42,240.89000000000001
194,12,207.15
25,18,68.84
192,19,139.35
192,26,457.34
192,9,228.8
64,13,272.07
18,29,304.47
71,192,1975.35
192,15,309.54
22,15,184.19
39,42,650.41
11,47,866.24
49,18,272.04
191,5,133.56
191,11,346.98
173,25,404.3
65,45,1043.46
29,62,402.2
29,20,681.9100000000001
190,22,119.93
190,6,112.19999999999999
14,167,3408.06
190,30,455.25
190,14,296.7
56,19,414.2
88,7,356.85
189,30,232.21
124,26,465.68
189,21,319.02
189,8,349.1
189,2,39.12
30,174,1491.43
5,101,3809.8900000000003
23,44,1073.3
148,33,554.38
4,30,1028.0
1,279,1371.77
187,7,110.55000000000001
187,3,59.5
9,271,4745.69
94,11,234.6
158,71,463.90999999999997
186,8,124.57
9,54,1043.41
22,27,598.2
122,47,804.02
186,31,394.14
186,10,129.49
116,86,348.91
185,5,103.25
38,28,775.1800000000001
185,18,247.44
31,28,519.44
2,20,666.1
59,7,93.66
28,214,1838.6100000000001
185,66,235.56
185,31,294.24
185,13,198.57
185,21,307.72
16,86,775.96
43,6,778.0
184,21,320.58000000000004
184,16,298.48
75,69,1080.76
77,7,680.02
1,109,2027.5
29,50,1071.99
11,120,2294.78
184,17,307.9
17,125,568.24
1,115,1791.56
1,97,518.19
183,10,213.70000000000002
2,200,3586.0299999999997
9,192,1472.34
57,54,835.78
36,44,740.78
79,67,1240.11
183,30,161.38
17,31,3204.1600000000003
65,21,414.04
24,110,781.28
182,8,72.0
182,9,105.84
22,11,1717.36
182,14,149.89000000000001
22,111,780.43
182,26,506.19
26,98,1348.93
8,318,1600.26
182,3,39916.5
180,7,80.82
19,39,202.37
138,122,550.01
40,44,544.18
108,40,1135.04
31,104,931.02
39,28,408.90000000000003
11,393,1493.96
1,278,1196.5
50,70,1070.65
59,141,2128.42
179,26,376.58
75,15,322.41
86,41,549.46
30,97,757.63
72,119,429.56
14,21,379.65
4,50,448.90000000000003
179,70,1109.53
179,8,98.25
179,6,58.08
179,13,189.47
3,164,3543.26
67,48,661.52
30,152,4151.93
10,42,1621.73
46,26,546.1999999999999
17,20,251.70000000000002
177,32,142.92
177,19,353.43
177,10,302.46000000000004
177,3,76.5
128,111,408.59000000000003
11,232,3945.0
177,41,683.17
176,31,455.3
0,76,2092.32
176,13,323.0
176,6,810.6000000000001
35,32,1699.3000000000002
176,2,46.95
21,106,1502.78
21,27,1910.01
119,40,712.29
176,10,189.5
23,46,732.0699999999999
7,13,319.0
10,9,144.91000000000003
176,9,305.75
43,33,257.67
29,39,254.11
22,127,817.12
173,7,191.94
173,13,177.34
173,10,137.9
173,6,178.51999999999998
14,63,1122.38
156,98,350.82
173,43,187.05
21,29,507.29
11,236,1291.91
172,86,696.68
11,55,656.61
173,12,134.1
172,49,880.85
172,24,323.03000000000003
12,90,946.64
58,27,355.56
172,20,170.04
39,231,2718.6
18,71,496.06
172,20,532.94
172,1,500.0
172,16,113.12
21,101,1538.88
39,57,1049.7
37,38,6814.64
171,45,475.86
50,94,518.27
171,15,290.36
131,35,765.34
78,25,415.8
8,27,221.27
171,26,73.78
171,10,190.53
51,101,1537.95
170,8,135.75000000000003
149,8,159.85
7,57,360.01
170,12,237.61
170,16,114.56
170,66,179.93
169,8,142.5
8,50,1335.19
169,22,330.11
72,33,446.18
169,7,137.45
16,53,918.1999999999999
169,20,371.89
17,90,819.96
169,9,158.85
19,93,234.88
14,19,411.41
127,11,1516.0
166,6,131.45000000000002
8,98,2081.9
12,26,352.69
7,28,2686.42
154,21,216.20999999999998
165,12,163.29999999999998
165,16,243.76
28,118,2593.07
164,3,339.3
28,6,1692.27
164,1,51.0
163,3,508.8
15,26,460.64
5,184,1710.45
4,172,1068.8700000000001
74,164,1962.46
38,59,1247.69
38,27,1445.0
163,2,32.65
163,24,110.92
163,12,311.65
42,162,1541.23
162,13,127.1
23,122,720.86
162,25,300.04
161,15,100.97
162,34,203.85999999999999
161,9,345.29999999999995
140,11,207.73999999999998
135,43,752.6
71,33,459.24
161,28,405.38
22,82,972.11
124,4,260.25
159,12,99.14
138,14,644.3
159,28,383.85
159,31,154.55
159,12,156.91
158,9,289.96000000000004
72,46,801.51
59,6,173.76
158,2,101.10000000000001
157,19,487.02
45,3,95.85
22,86,648.89
157,19,160.42000000000002
15,33,500.42
157,11,214.79999999999998
157,22,642.02
59,47,786.54
156,11,197.22
122,4,533.98
134,47,529.73
156,9,39.239999999999995
155,42,361.11
155,53,781.03
3,77,1295.39
56,28,244.1
52,97,3610.96
155,37,1837.92
155,31,187.29
17,57,827.83
155,14,308.58000000000004
7,120,2383.2400000000002
78,69,1122.41
155,1,63.75
35,94,1415.29
11,22,380.35
149,31,653.3
16,111,351.73
115,45,1610.15
154,60,167.5
129,8,1740.0
152,21,389.78
9,52,524.88
126,23,1009.5500000000001
151,16,232.6
44,48,355.05
24,8,271.40000000000003
151,57,164.22
60,108,2155.95
7,12,1133.25
15,8,250.26000000000002
8,357,1793.06
1,82,1031.41
4,26,598.57
23,142,1383.3600000000001
149,11,179.17
149,42,610.01
50,9,218.55
149,11,311.92
149,83,299.05
149,25,574.7
148,13,309.4
25,48,841.1999999999999
33,29,498.8
148,6,98.45
43,51,307.51
109,23,608.7900000000001
59,60,1173.12
64,58,1174.35
33,62,1048.49
3,148,2274.14
1,88,1952.45
22,25,840.21
2,73,296.58
147,1,358.56000000000006
147,154,1220.77
147,28,180.42000000000002
3,162,2479.16
145,2,80.7
145,70,783.9
145,24,417.38
7,337,1810.65
145,48,152.68
19,63,1207.24
17,49,839.14
63,15,467.66
143,3,90.0
18,65,791.33
21,81,650.32
12,82,852.88
11,40,222.4
57,92,409.8
3,700,2790.9500000000003
4,119,1843.75
142,9,329.65
142,1,451.42
96,47,318.76
5,947,3017.28
19,230,1298.66
142,34,102.41
4,18,280.52
141,5,120.0
116,61,1000.16
138,29,145.79
33,18,330.45
141,15,283.12
141,38,178.75
30,6,3166.4
141,19,301.03
99,51,636.14
113,31,612.06
4,6,220.10000000000002
140,13,149.48
84,49,777.53
22,161,972.08
138,22,361.21999999999997
138,3,147.12
71,40,1033.0
35,55,798.74
138,30,501.14
46,66,1421.61
138,52,868.49
138,8,197.9
137,15,449.73
137,25,191.95000000000002
24,11,281.85
137,5,87.4
11,52,705.79
137,16,200.47
137,27,2007.3999999999999
32,45,776.851
57,17,337.34
26,97,572.56
135,3,60.7
135,34,255.91
71,105,1858.96
124,28,462.65999999999997
135,19,254.82
18,101,2298.93
119,20,645.65
92,41,678.25
2,61,987.1
134,25,425.32
134,1,244.8
134,28,196.88
134,1,25.5
133,14,337.44
133,7,115.8
133,21,358.82
133,22,375.0
15,8,258.4
19,46,347.08
133,23,520.8000000000001
36,17,343.45
11,68,1314.81
133,18,241.62
29,20,372.21999999999997
133,1,76.5
10,27,464.57
131,15,765.3199999999999
131,35,677.1
131,25,156.57999999999998
5,86,3766.6
130,2,304.56
72,14,290.82
130,13,498.48
29,52,325.96000000000004
56,33,1530.3600000000001
2,56,1018.71
88,400,4459.52
64,40,689.9
129,2,1487.6
129,22,919.61
129,24,406.09
73,5,1117.9
129,93,1595.48
129,44,118.67
52,13,924.6
129,10,111.35
39,79,1575.89
128,3,168.0
73,82,1674.69
42,57,1842.14
10,145,2420.84
128,18,114.77
128,40,208.65
128,2,594.0
17,5,192.60000000000002
7,35,1242.3
127,18,300.36
127,19,168.31
85,37,653.24
127,5,62.63999999999999
127,37,317.2
126,11,233.22
126,10,205.1
5,37,663.81
7,12,178.05
19,46,870.09
124,12,375.1
101,30,498.42
121,16,327.7
16,101,1521.04
92,10,193.64
63,71,1175.22
123,1,175.2
73,47,789.89
23,65,1166.77
122,6,356.0
122,32,674.7
32,84,1511.95
121,17,302.25
19,72,1382.74
50,6,123.8
21,122,1280.58
28,60,1093.68
120,69,318.65
36,44,1207.56
31,70,1324.84
120,5,252.1
50,24,538.55
120,1,15.0
119,7,138.32
119,8,156.75
117,10,193.75
117,13,640.14
5,29,247.15
116,19,213.85
116,25,411.7
116,7,508.4599999999999
39,11,251.87
116,14,234.17
116,44,1706.88
63,55,1060.56
64,37,570.5
92,6,877.4399999999999
8,120,1429.35
18,29,260.68
31,35,547.0600000000001
99,10,165.0
46,266,4919.0
114,29,85.13000000000001
52,52,646.76
37,123,531.35
114,62,304.24
7,16,266.39
113,16,138.98
9,25,377.44
113,76,371.56
113,6,313.62
112,1,71.4
112,14,288.18
93,8,128.5
29,25,917.07
23,31,503.76
112,9,139.26
112,5,135.95
17,39,251.91
2,230,1529.0
60,213,578.61
110,54,548.12
110,1,52.0
46,64,1063.95
3,111,1863.47
35,17,285.89
109,16,167.61
32,139,1727.6
17,174,1446.09
45,7,179.33999999999997
108,12,241.09
3,124,1937.25
4,31,439.43
91,42,576.4
107,18,213.55
107,141,534.31
24,36,744.85
106,6,335.52
106,12,156.51
106,8,120.0
106,1,17.0
106,15,628.38
31,54,746.36
106,2,284.55
106,10,725.6400000000001
106,9,138.14
106,30,150.35
23,37,1384.8600000000001
16,146,2624.26
1,100,1721.4
105,12,231.10000000000002
2,40,915.13
105,41,735.67
7,73,3347.31
103,48,161.74
103,9,178.7
8,70,721.45
4,5111,65164.79
30,34,597.91
101,43,211.89
86,30,285.74
38,42,1079.6599999999999
4,19,239.76
24,190,647.56
100,23,566.38
63,30,590.9300000000001
10,4,712.8000000000001
99,18,305.28000000000003
99,1,207.35999999999999
99,29,387.52
98,9,89.06
98,21,115.31
32,27,383.03
54,93,304.24
15,84,1418.32
98,58,363.79
74,10,534.24
96,13,316.62
63,52,374.7
5,76,1747.66
46,35,734.94
96,47,131.81
96,81,596.09
2,68,1286.7
73,60,408.63
43,21,324.24
95,12,205.3
95,26,497.61
95,12,82.75
2,160,2427.32
31,117,2118.03
94,29,303.93
94,10,151.74
94,2,64.0
93,22,353.48
3,82,1255.59
29,25,380.6
10,60,259.05
92,15,416.90000000000003
92,2,91.32000000000001
92,19,443.0
92,27,121.74000000000001
46,43,1312.1399999999999
91,13,296.64
18,40,957.66
44,10,573.22
74,34,482.47
10,29,1127.71
4,545,1508.96
91,21,337.74
32,77,709.99
89,27,252.73000000000002
22,55,268.05
31,15,276.56
46,9,2600.34
89,9,1070.48
89,23,378.64
89,6,103.3
7,111,1904.05
89,18,305.62
9,377,2248.5
9,43,2614.7400000000002
24,42,703.47
89,108,769.8100000000001
19,83,807.57
89,13,299.34000000000003
9,34,453.4
88,37,778.65
67,46,1269.1
88,23,547.02
88,7,309.05
88,30,620.4
88,23,1304.04
4,636,3450.41
88,54,303.15999999999997
5,134,2308.06
16,39,642.8
19,55,912.18
87,14,266.97
54,96,899.69
87,2,96.6
32,56,397.99
87,75,1267.32
70,46,948.88
87,21,364.5
87,30,563.15
87,7,117.35000000000001
87,16,4314.72
52,71,1010.18
42,22,372.8
86,5,621.66
1,76,1245.9
12,57,415.13
3,165,2876.01
21,74,1107.46
30,32,595.25
86,1,228.96
31,35,703.36
35,205,916.98
18,49,679.45
72,11,567.36
86,3,117.24
57,63,721.94
85,42,679.68
85,28,494.25
85,36,627.16
51,33,2093.32
52,30,1992.1100000000001
65,20,1025.44
31,97,591.1899999999999
85,23,655.75
2,134,2373.82
85,57,334.53
11,158,900.53
85,1,2033.1
15,11,215.48
85,28,508.8
85,3,211.32
85,16,788.38
84,48,842.5
1,48,984.57
21,81,829.89
84,23,410.48
3,21,787.85
84,5,419.58000000000004
84,24,371.01
84,10,412.01000000000005
84,3,13.3
82,29,1708.24
17,25,501.12
40,169,856.84
82,7,973.8399999999999
75,13,422.59999999999997
5,132,798.35
82,15,115.46000000000001
28,132,811.23
81,12,675.3
81,22,345.0
81,13,52.83
8,68,1131.56
14,34,541.46
81,2,358.0
79,33,701.23
43,19,712.5
81,5,75.75
81,14,228.06
80,17,2020.52
80,14,242.35
70,29,1631.77
80,12,168.31
24,49,454.01
80,42,768.24
56,30,779.9
79,14,507.84
16,40,979.12
